t;N;D;PP;SP;PR;SR;TR;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
9032;0.0214262;196.17;649.086;47.3335;50.5535;9.55149;58.3498;0.000589457;0.00215843;49.7883;79.2536;108.861;0;0;0;0;0;0;2.51686;2.68279;2.565;3.33614;0.00159542;0.0859302;0.347452;1.80105;2.05434;4.50258;4.69841;0;0;0;0;0;0;0;0;0;4.69436;4.89922;0;2.66057;1.46252;3.02313;3.57827;17.1595;10.046;3.91343;8.66159e-17;0;0;0;0;1.12422e-11;0.242034;1.42864;5.91412
9033;0.0254561;199.58;629.439;178.817;37.1998;19.8579;55.3879;0.000878535;0.00351807;71.9444;58.5989;61.654;0;0;0;0;0;0;0.395677;0.430835;0.493523;0.673062;0.00523576;0.408085;2.42643;11.3397;12.9095;12.5831;8.41847;0;0;0;0;0;0;0;0;0;2.64276;2.78734;0;1.6546;1.13502;2.64623;3.29559;16.7488;10.6425;4.46735;1.05772e-16;0;0;0;0;1.09359e-11;0.227955;1.34254;5.57173
9034;0.0478403;200.151;607.744;271.129;20.0771;29.9635;52.0955;0.0646433;0.209944;80.8354;10.1368;5.9659;0;0;0;0;0;0;0.0647634;0.0721132;0.0970915;0.137654;0.0269313;2.09383;7.05061;22.5163;25.7463;17.4749;9.98013;0;0;0;0;0;0;0;0;0;1.55721;1.99814;0;1.56494;1.84902;4.99028;6.26154;32.0592;21.572;7.87224;1.74036e-16;0;0;0;0;9.98462e-12;0.207042;1.21846;5.22174
9035;0.0302456;194.933;617.068;160.166;31.5738;19.0714;53.4784;11.4814;27.5438;96.3074;2.84619;1.22495;0;0;0;0;0;0;0.028666;0.033506;0.054581;0.0795325;0.143754;6.6957;4.27184;6.25937;7.337;7.22785;4.52795;0;0;0;0;0;0;0;0;0;1.14885;1.79091;0;1.67819;2.7689;8.14073;10.2065;51.0221;36.4279;11.8171;2.43434e-16;0;0;0;0;8.96453e-12;0.189584;1.11635;5.17291
9036;0.0207484;194.849;642.452;95.612;45.7695;14.6017;57.3465;51.7115;76.2345;55.3676;2.53888;1.29901;0;0;0;0;0;0;0.875707;1.08326;1.54675;2.06403;0.650291;8.49953;0.814404;0.488344;0.58723;1.44663;1.52482;0;0;0;0;0;0;0;0;0;1.11442;1.70222;0;1.51119;2.40534;7.13443;9.0582;44.5773;33.9546;11.1658;2.28549e-16;0;0;0;0;7.99933e-12;0.17372;1.02392;5.20455
9037;0.0361063;199.447;633.784;98.0148;30.7628;23.1663;56.004;0.507036;0.780046;109.143;13.3067;8.57741;0;0;0;0;0;0;8.77985;10.934;13.2133;16.2691;2.82151;11.6599;0.226366;0.0629212;0.0767437;0.374267;0.645728;0;0;0;0;0;0;0;0;0;1.37214;1.71414;0;1.31296;1.84612;5.36077;6.85894;33.5525;26.4525;8.84829;1.78915e-16;0;0;0;0;7.09008e-12;0.156931;0.925584;5.0796
9038;0.0378729;199.691;612.729;235.322;22.1212;29.2548;52.849;0.0124207;0.0194773;27.3785;48.8159;53.1029;0;0;0;0;0;0;1.44182;1.82279;2.55513;3.2295;12.8561;40.0858;0.383134;0.0600718;0.0739875;0.333017;0.693548;0;0;0;0;0;0;0;0;0;4.04439;3.97267;0;2.20262;2.17661;5.50484;6.80542;32.3702;25.5377;7.80739;1.35767e-16;0;0;0;0;6.50613e-12;0.144128;0.849898;4.92304
9039;0.0276787;196.065;633.142;113.309;40.0879;15.0695;55.9278;0.0778719;0.102731;1.65275;70.4496;111.85;0;0;0;0;0;0;0.222977;0.287002;0.491096;0.658042;1.51265;16.9594;0.56992;0.0940202;0.119292;0.488715;1.07272;0;0;0;0;0;0;0;0;0;12.7986;10.5853;0;4.22618;2.83297;6.07824;7.19029;32.9175;26.2956;7.22586;1.04926e-16;0;0;0;0;7.36214e-12;0.152202;0.893986;5.17922
9040;0.0230973;197.418;654.103;40.8132;52.5687;8.27828;59.109;0.696007;0.840331;3.86379;97.6905;122.909;0;0;0;0;0;0;0.0338337;0.0442901;0.0987277;0.145628;0.0499695;3.77239;0.914301;0.205483;0.268617;0.843778;1.80917;0;0;0;0;0;0;0;0;0;12.3711;9.6213;0;3.51652;2.13225;4.531;5.42236;24.9522;20.6916;5.84654;8.45629e-17;0;0;0;0;9.38446e-12;0.17277;1.00807;5.61495
9041;0.0219122;200.524;653.963;56.144;51.5895;8.45612;59.0885;5.20625;5.86074;12.2732;100.282;109.339;0;0;0;0;0;0;0.00927051;0.0123203;0.0337503;0.0536821;0.00554498;2.25264;3.13403;0.848669;1.12116;1.94506;3.26094;0;0;0;0;0;0;0;0;0;8.09487;6.52031;0;2.40059;1.43493;3.1579;3.886;18.4055;15.761;4.8378;7.42314e-17;0;0;0;0;1.08424e-11;0.181942;1.05592;5.72098
